character,character,url,description
teacher-woman,Teacher,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867581/covid19-badges/teacher-woman.svg,"HATS OFF TO THEIR HARD WORK:
They try so hard to educate the future of our nation
Even without government plans, they show determination"
shopkeeper-woman,Shopkeeper,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867579/covid19-badges/shopkeeper-woman.svg,"Making sure people have everything they need
From meds to food that they can eat and feed"
teacher-man,Teacher,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867580/covid19-badges/teacher-man.svg,"HATS OFF TO THEIR HARD WORK:
They try so hard to educate the future of our nation
Even without government plans, they show determination"
shopkeeper-man,Shopkeeper,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867580/covid19-badges/shopkeeper-man.svg,"Making sure people have everything they need
From meds to food that they can eat and feed"
sanitation-man,Sanitation Person,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867579/covid19-badges/sanitation-man.svg,"hauling away trash and dirt
making sure no one is hurt"
sftEng-woman,Engineer,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867579/covid19-badges/sftEng-woman.svg,"The true heroes whose praises people hardly sing
Stuck to their machines winter, summer or spring
Working remotely in lockdown day and night, 
they code, they update and bring information to light"
sanitation-woman,Sanitation Person,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867578/covid19-badges/saniation-woman.svg,"hauling away trash and dirt
making sure no one is hurt"
sftEng-man,Engineer,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867578/covid19-badges/sftEng-man.svg,"The true heroes whose praises people hardly sing
Stuck to their machines winter, summer or spring
Working remotely in lockdown day and night, 
they code, they update and bring information to light"
police-man,Police,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867576/covid19-badges/police-man.svg,"It's no joke what you do - maintaining law and order
when noone, not even the lawmakers bother.
Standing in the hot sun, chasing in the rain
To save us from ours, you endure that pain."
politician-man,Politician,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867576/covid19-badges/politician-man.svg,"your job is to take care of the nation
but you think it is to tell jokes"
politician-woman,Politician,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867576/covid19-badges/politician-woman.svg,"your job is to take care of the nation
but you think it is to tell jokes"
police-woman,Police,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867576/covid19-badges/politician-woman.svg,"It's no joke what you do - maintaining law and order
when noone, not even the lawmakers bother.
Standing in the hot sun, chasing in the rain
To save us from ours, you endure that pain."
nurse-woman,Nurse,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867574/covid19-badges/nurse-woman.svg,"taking care of patients night and day
with a smile, bringing medicine on a tray"
journalist-woman,Journalist,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867573/covid19-badges/journalist-woman.svg,"covering stories, breaking news
always helping people choose"
nurse-man,Nurse,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867574/covid19-badges/nurse-man.svg,"taking care of patients night and day
with a smile, bringing medicine on a tray"
labTech-woman,Lab Technician,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867574/covid19-badges/labTech-woman.svg,"testing sample swabs in the PCR machine
part of a health team always behind the scene"
journalist-man,Journalist,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867573/covid19-badges/journalist-man.svg,"covering stories, breaking news
always helping people choose"
labTech-man,Lab Technician,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867573/covid19-badges/labTech-man.svg,"testing sample swabs in the PCR machine
part of a health team always behind the scene"
farmer-man,Farmer,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867572/covid19-badges/farmer-man.svg,"making sure the country can eat
lots of vegetables, eggs and meat"
farmer-woman,Farmer,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867572/covid19-badges/farmer-woman.svg,"making sure the country can eat
lots of vegetables, eggs and meat"
delivery-woman,Delivery Person,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867571/covid19-badges/delivery-woman.svg,"scotting around to keep people fed
whether they want rice or bread"
doctor-man,Doctor,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867571/covid19-badges/doctor-man.svg,"No virus can deter them from their duty
Treating people even without proper PPE
They seem to never ever get tired
To serve humanity, they believe they were hired"
doctor-woman,Doctor,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867571/covid19-badges/doctor-woman.svg,"No virus can deter them from their duty
Treating people even without proper PPE
They seem to never ever get tired
To serve humanity, they believe they were hired"
delivery-man,Delivery Person,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867571/covid19-badges/delivery-man.svg,"scotting around to keep people fed
whether they want rice or bread"
